Type,Name of facility,Address,City,State,Zip,Climate Gross Sqft,Climate Net SqftNon-Climate Gross Sqft,Non-Climate Net Sqft,Gross Sqft,Net Sqft,5x5 Climate,5x5 Non-Climate,5x10 Climate,5x10 Non-Climate,10x10 Climate,10x10 Non-Climate,10x15 Climate,10x15 Non-Climate,10x20 Climate,10x20 Non-Climate
Current,,"
",,,,"50,250","36,180","3,425","3,117","53,674","39,296",,,,,,,,,,
Current,Rancho Mini-Storage,"1661 Tonopah Hwy
",Las Vegas,NV,89106,"50,250","36,180","3,425","3,117","53,674","39,296",,,,,,,,,,
Current,Rancho Mini-Storage,"1661 Tonopah Hwy
",Las Vegas,NV,89106,-,-,"56,903","51,781",,,,,,$63,-,$90,-,$110,,
Current,Rancho Mini-Storage,"1661 Tonopah Hwy
",Las Vegas,NV,89106,-,-,"20,258","18,435","20,258","18,435",-,$40,-,$63,-,$90,-,$110,,
Current,Affordable Self Storage,"3333 Meade Ave
",Las Vegas,NV,89102,-,-,"20,258","18,435","20,258","18,435",-,$40,-,$63,-,$90,-,$110,,
Current,Affordable Self Storage,"3333 Meade Ave
",Las Vegas,NV,89102,,,,,,,,,,,,,,,,
Current,Affordable Self Storage,"3333 Meade Ave
",Las Vegas,NV,89102,"94,370","67,946",-,-,"94,370","67,946",,,,,,,,,,
Current,U-Haul Moving & Storage of Baldwin Hills,"5021-5051 Rodeo Rd
",Los Angeles,CA,90016,"94,370","67,946",-,-,"94,370","67,946",,,,,,,,,,
Current,U-Haul Moving & Storage of Baldwin Hills,"5021-5051 Rodeo Rd
",Los Angeles,CA,90016,-,-,"56,578","51,486","56,578","51,486",,,,,,,,,,
Current,U-Haul Moving & Storage of Baldwin Hills,"5021-5051 Rodeo Rd
",Los Angeles,CA,90016,-,-,"45,899","41,768","45,899","41,768",-,$105,-,$145,-,$240,-,-,,
Current,Extra Space Storage,"290 W Casitas Ave
",Los Angeles,CA,90039,-,-,"45,899","41,768","45,899","41,768",-,$69,-,$115,-,$159,-,-,,
Current,Extra Space Storage,"290 W Casitas Ave
",Los Angeles,CA,90039,-,-,"356,130","324,079","356,130","324,079",-,$69,-,$115,-,$159,-,-,,
Current,Extra Space Storage,"290 W Casitas Ave
",Los Angeles,CA,90039,-,-,"356,130","324,079","356,130","324,079",-,$69,-,$115,-,$159,,-,,
Current,Public Storage,"1712 Effie St
",Los Angeles,CA,90026,"180,336","129,842",-,-,"180,336","129,842",$101,-,$143,-,$239,-,$324,-,,
Current,Public Storage,"1712 Effie St
",Los Angeles,CA,90026,"99,936","71,954",-,-,"99,936","71,954",,,,,,,,,,
Current,Storage Etc. Los Feliz,"2870 Los Feliz Pl
",Los Angeles,CA,90039,"99,936","71,954",-,-,"99,936","71,954",,,,,,,,,,
Current,Storage Etc. Los Feliz,"2870 Los Feliz Pl
",Los Angeles,CA,90039,"99,936","71,954",-,-,"99,936",,-,-,-,-,-,$200,-,-,,
Current,Storage Etc. Los Feliz,"2870 Los Feliz Pl
",Los Angeles,CA,90039,"37,761","27,188",-,-,"37,761","27,188",-,-,-,-,-,$200,-,$276,,
Current,Storage Etc. Los Feliz,"2870 Los Feliz Pl
",Los Angeles,CA,90039,"50,882","36,635",-,-,"50,882","36,635",-,$93,-,$128,-,$190,-,,,
Current,Public Storage,"4400 W Ramona Blvd
",Monterey Park,CA,91754,"88,555","63,759",-,-,"88,555","13,441",,,,,,,,,,
Current,Public Storage,"4400 W Ramona Blvd
",Monterey Park,CA,91754,-,-,"14,771","13,441","14,771","13,441",,,,,,,,,,
Current,Public Storage,"5500 San Fernando Rd
",Glendale,CA,91203,-,-,"14,771","13,441","14,771","13,441",,,,,,,,,,
Current,Public Storage,"5500 San Fernando Rd
",Glendale,CA,91203,-,-,"15,406","14,019","76,828","58,243",-,$96,-,$132,-,$191,-,$261,,
Current,A-1 Self Storage,"2300 Poplar Blvd
",Alhambra,CA,91801,"61,422","44,224","15,406","14,019","76,828","58,243",-,$96,-,$132,-,$191,-,$261,,
Current,U-Haul Moving & Storage of South Central,"11020 S Vermont Ave
",Los Angeles,CA,90044,"97,125",,-,-,"97,125","69,930",$72,$76,$115,$149,$182,$195,$264,$270,,
Current,U-Haul Moving & Storage of South Central,"11020 S Vermont Ave
",Los Angeles,CA,90044,"97,125","69,930",-,-,"97,125","69,930",$72,$76,$115,$149,$182,$195,$264,$270,,
Current,Nova Storage,"7301-7399 Suva St
",Downey,CA,90240,"97,125","69,930",-,-,"97,125","69,930",$72,$76,$115,$149,$182,$195,$264,$270,,
Current,Nova Storage,"7301-7399 Suva St
",Downey,CA,90240,"97,125","69,930",-,-,"97,125","69,930",$72,$76,$115,,,,,,,
Current,Nova Storage,"7301-7399 Suva St
",Downey,CA,90240,-,-,"78,977","71,869","78,977","71,869",,,,,-,$190,-,$200,,
Current,Nova Storage,"7301-7399 Suva St
",Downey,CA,90240,"89,566","64,487","6,881","6,261","96,446","70,749",-,$100,-,$156,-,$190,-,$200,,
Current,Public Storage,"1546 W El Segundo Blvd
",Gardena,CA,90249,,,,"7,426","8,161","7,426",-,$72,-,$125,-,-,-,-,,
Current,Public Storage,"1546 W El Segundo Blvd
",Gardena,CA,90249,-,-,"8,161","7,426","8,161","7,426",-,$72,-,$125,-,-,-,-,,
Current,Public Storage,"1546 W El Segundo Blvd
",Gardena,CA,90249,"32,453","23,366",-,-,"32,453","23,366",,,,,,,,,,
Current,Public Storage,"10833 S Prairie Ave
",Inglewood,CA,90303,-,-,"15,247","13,875","15,247","13,875",-,$89,-,$136,-,$230,-,-,,
Current,Public Storage,"10833 S Prairie Ave
",Hawthorne,CA,90250,-,-,"15,247","13,875","15,247","13,875",-,$89,-,$136,-,$230,-,-,,
Current,Extra Space Storage,"12714 S La Cienega Blvd
",Hawthorne,CA,90250,"108,101","77,832",-,-,"108,101","77,832",-,$93,-,$125,-,$192,-,$247,,
Current,StorAmerica Self Storage,"12024 Center St
",South Gate,CA,90280,"108,101","77,832",-,-,"108,101","77,832",-,$93,-,$125,-,$192,-,$247,,
Current,StorAmerica Self Storage,"12024 Center St
",South Gate,CA,90280,"108,101","77,832",-,-,"108,101","77,832",-,,-,$121,-,$175,-,$225,,
Current,StorAmerica Self Storage,"12024 Center St
",South Gate,CA,90280,"58,957",-,"83,200","75,712","83,200","75,712",-,$74,-,$111,-,$151,-,$194,,
